host_is_superhost,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,number_of_reviews,review_scores_rating,z_score
True,True,1078,52.342312579431045,4.894194976598042,t,Apartment,Entire home/apt,3,1.0,2.0,3.0,230.0,1610.0,230.0,230.0,27,86.0,0.6687001261514746
True,True,1017,52.36321324239451,4.889051424334264,t,Apartment,Entire home/apt,4,1.0,2.0,4.0,230.0,"$1,300.00",230.0,230.0,158,92.0,0.6687001261514746
True,True,1057,52.36823908012429,4.853210748039301,t,Apartment,Private room,2,1.0,1.0,1.0,50.0,350.0,50.0,50.0,318,93.0,0.7996200666798375
True,True,1012,52.37433431603307,4.89246876049259,t,Bed and breakfast,Private room,4,1.0,1.0,4.0,160.0,$851.00,160.0,160.0,130,95.0,0.09768671782818647
True,True,1051,52.38487211819231,4.872481357594563,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,110.0,$650.00,110.0,110.0,88,98.0,0.3101800024027336
True,True,1059,52.35221380860934,4.846612397531583,t,Apartment,Entire home/apt,3,1.0,2.0,2.0,150.0,1050.0,150.0,150.0,9,84.0,0.016113373782002467
True,True,1017,52.360871179686576,4.8955906497433865,t,Loft,Private room,2,1.0,1.0,1.0,95.0,$575.00,95.0,95.0,497,99.0,0.43254001847200957
True,True,1013 BH,52.38393030999055,4.89237125764235,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,100.0,$840.00,100.0,100.0,37,99.0,0.39175334644891757
True,True,1051,52.38351266036433,4.875730763066735,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,99.0,693.0,99.0,99.0,42,96.0,0.399910680853536
True,True,1054,52.35930674965399,4.8611084302365315,t,Apartment,Entire home/apt,2,1.0,1.0,2.0,79.0,553.0,79.0,79.0,33,87.0,0.563057368945904
True,True,1016 PM,52.37184057754968,4.881707856110731,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,80.0,560.0,80.0,80.0,64,93.0,0.5549000345412856
True,True,1077,52.34743916227274,4.868860660076601,t,Apartment,Entire home/apt,4,1.5,3.0,4.0,284.0,1988.0,284.0,284.0,25,97.0,1.1091961840008682
True,True,1056,52.37086528996354,4.8659566161588055,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,99.0,$500.00,99.0,99.0,15,90.0,0.399910680853536
True,True,1053,52.36889187403649,4.864288391158311,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,99.0,$560.00,99.0,99.0,2,90.0,0.399910680853536
True,True,1053,52.368947036604595,4.864515338244789,t,Apartment,Entire home/apt,4,1.5,2.0,3.0,180.0,1260.0,180.0,180.0,13,93.0,0.2608334059205545
True,True,1059,52.35165078027672,4.8465334434469245,t,Apartment,Private room,2,1.0,1.0,1.0,129.0,$690.00,129.0,129.0,39,99.0,0.15519064871498395
True,True,1012,52.370688362374935,4.895157177391901,t,Apartment,Private room,3,1.0,1.0,2.0,114.0,798.0,114.0,114.0,150,97.0,0.27755066478425994
True,True,1079,52.33761522397163,4.893596487180915,t,Apartment,Entire home/apt,4,1.0,2.0,3.0,150.0,1050.0,150.0,150.0,14,97.0,0.016113373782002467
True,True,1012,52.3689052504095,4.889704568580539,t,Guest suite,Entire home/apt,2,1.0,1.0,1.0,265.0,1855.0,265.0,265.0,1,100.0,0.9542068303131186
True,True,1054,52.36563714208943,4.876398386996833,t,Houseboat,Entire home/apt,4,1.0,2.0,2.0,170.0,"$1,200.00",170.0,170.0,187,94.0,0.1792600618743705
True,True,1058,52.361098230898705,4.858935153103977,t,Apartment,Entire home/apt,2,1.0,1.0,2.0,100.0,700.0,100.0,100.0,104,93.0,0.39175334644891757
True,True,1054,52.35957301118511,4.86589459094221,t,Apartment,Private room,4,1.0,1.0,2.0,165.0,$835.00,165.0,165.0,82,97.0,0.13847338985127847
True,True,1015 WZ,52.37591434666808,4.878066562935041,t,Condominium,Entire home/apt,4,1.0,2.0,2.0,125.0,875.0,125.0,125.0,16,91.0,0.18781998633345753
True,True,1016,52.365736470109674,4.8802090220914405,t,Apartment,Entire home/apt,2,1.5,1.0,1.0,175.0,"$1,000.00",175.0,175.0,2,100.0,0.2200467338974625
True,True,1072 CC,52.35613973312535,4.88847575208638,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,100.0,700.0,100.0,100.0,107,95.0,0.39175334644891757
True,True,1056 XD,52.3714933602559,4.862764028623305,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,80.0,$600.00,80.0,80.0,17,98.0,0.5549000345412856
True,True,1054,52.364516655500545,4.875872996810312,t,House,Private room,2,0.5,1.0,1.0,86.0,602.0,86.0,86.0,540,96.0,0.5059560281135752
True,True,1016 BB,52.367912234286614,4.8880858190785865,t,Apartment,Entire home/apt,4,1.5,2.0,4.0,400.0,2800.0,400.0,400.0,56,94.0,2.0554469749366024
True,True,1053XE,52.36588424052564,4.872613822339188,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,119.0,$650.00,119.0,119.0,289,97.0,0.23676399276116794
True,True,1078,52.346035277702406,4.897093661068418,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,120.0,840.0,120.0,120.0,37,94.0,0.22860665835654956
True,True,1094,52.36609902269462,4.932987129096548,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,70.0,490.0,70.0,70.0,97,89.0,0.6364733785874696
True,True,1011,52.372314312023846,4.898560451903537,t,Condominium,Entire home/apt,4,1.0,3.0,4.0,449.0,"$1,700.00",449.0,449.0,13,97.0,2.455156360762904
True,True,1053,52.36718586381298,4.867373589491419,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,175.0,$575.00,175.0,175.0,47,94.0,0.2200467338974625
True,True,1012 VS,52.367751656756,4.889815058128981,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,149.0,1043.0,149.0,149.0,358,98.0,0.007956039377384067
True,True,1012,52.37408073348525,4.897792585847227,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,193.0,"$1,148.00",193.0,193.0,77,97.0,0.3668787531805937
True,True,1018,52.36513246667161,4.908371799288464,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,145.0,$870.00,145.0,145.0,65,98.0,0.024673298241089534
True,True,1016,52.3713086974301,4.882063422033223,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,250.0,1750.0,250.0,250.0,42,98.0,0.8318468142438425
True,True,1073,52.356980877920925,4.890688061048634,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,115.0,$550.00,115.0,115.0,88,96.0,0.2693933303796415
True,True,1015 CB,52.376827040334476,4.889139866845394,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,188.0,$848.00,188.0,188.0,2,100.0,0.3260920811575017
True,True,1078 KD,52.34425830623576,4.887220320280407,t,Apartment,Private room,4,1.0,2.0,4.0,150.0,1050.0,150.0,150.0,60,97.0,0.016113373782002467
True,True,1018 KP,52.368351014921636,4.924069390070278,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,100.0,$475.00,100.0,100.0,4,100.0,0.39175334644891757
True,True,1054,52.35941331459236,4.859953007578639,t,Apartment,Entire home/apt,5,2.0,4.0,6.0,168.0,$800.00,168.0,168.0,6,93.0,0.16294539306513367
True,True,1094 EX,52.3580919064273,4.935606229701712,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,99.0,$688.00,99.0,99.0,26,96.0,0.399910680853536
True,True,1092,52.35605072558158,4.919385692227501,t,Apartment,Entire home/apt,4,2.0,2.0,4.0,225.0,1575.0,225.0,225.0,38,96.0,0.6279134541283825
True,True,1094,52.3616422185585,4.938273700070705,t,Apartment,Entire home/apt,2,1.0,1.0,2.0,73.0,511.0,73.0,73.0,14,94.0,0.6120013753736144
True,True,1058,52.35519127920091,4.851167699222689,t,Apartment,Private room,2,1.0,1.0,1.0,96.0,$800.00,96.0,96.0,103,96.0,0.42438268406739116
True,True,1016,52.37416858770747,4.8865013132855335,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,190.0,1330.0,190.0,190.0,4,100.0,0.3424067499667385
True,True,1054,52.360478436352,4.863450457840695,t,Apartment,Entire home/apt,2,1.5,1.0,1.0,85.0,$550.00,85.0,85.0,20,98.0,0.5141133625181936
True,True,1017,52.361643337443546,4.9025822184962715,t,Apartment,Entire home/apt,2,1.0,1.0,2.0,125.0,875.0,125.0,125.0,4,100.0,0.18781998633345753
True,True,1016,52.37048754922962,4.879669027912172,t,Bed and breakfast,Private room,4,1.0,1.0,2.0,110.0,$825.00,110.0,110.0,9,93.0,0.3101800024027336
True,True,1076,52.3463259409881,4.856285933979298,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,120.0,$650.00,120.0,120.0,6,100.0,0.22860665835654956
True,True,1055,52.37842980388138,4.854837092707593,t,Condominium,Entire home/apt,2,1.0,1.0,1.0,125.0,$500.00,125.0,125.0,37,98.0,0.18781998633345753
True,True,1079,52.33921273616006,4.893759461764407,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,169.0,1183.0,169.0,169.0,22,97.0,0.17110272746975208
True,True,1054,52.35829508439539,4.859091947726598,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,125.0,$553.00,125.0,125.0,20,98.0,0.18781998633345753
True,True,1053,52.36599949646363,4.863530499078753,t,Townhouse,Private room,3,1.0,2.0,2.0,74.0,518.0,74.0,74.0,141,95.0,0.603844040968996
True,True,1075,52.35017418763845,4.8525503850212495,t,Apartment,Entire home/apt,3,1.5,2.0,3.0,115.0,805.0,115.0,115.0,3,100.0,0.2693933303796415
